name,manufacturer,unit_of_measure,manufacturer_number,quantity,selling_price,purchase_price,max_discount,url
Cливная пробка поддона АКПП VAG,VAG,шт,WHT000310A,4,680.0,340.0,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665145&search=C%D0%BB%D0%B8%D0%B2%D0%BD%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B1%D0%BA%D0%B0%20%D0%BF%D0%BE%D0%B4%D0%B4%D0%BE%D0%BD%D0%B0%20%D0%90%D0%9A%D0%9F%D0%9F%20VAG
"Pезистор дополнительный для VW Polo седан, Borsehung",BORSEHUNG,шт,B11459,3,2250.0,763.0,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665313&search=P%D0%B5%D0%B7%D0%B8%D1%81%D1%82%D0%BE%D1%80%20%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%B4%D0%BB%D1%8F%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20Borsehung"
"TRANSMASTER ХОМУТ УНИВЕРСАЛЬНЫЙ 54 М8, МЕТАЛЛ. TRANSMASTER C854",,шт,C854,1,550.0,128.37,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=17089658&search=TRANSMASTER%20%D0%A5%D0%9E%D0%9C%D0%A3%D0%A2%20%D0%A3%D0%9D%D0%98%D0%92%D0%95%D0%A0%D0%A1%D0%90%D0%9B%D0%AC%D0%9D%D0%AB%D0%99%2054%20%D0%9C8,%20%D0%9C%D0%95%D0%A2%D0%90%D0%9B%D0%9B.%20TRANSMASTER%20C854"
Аккумулятор SPEEDMATE SM-EB620 12V 62Ah 520A 242x175x190,,шт,,1,8750.0,6749.85,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=16854088&search=%D0%90%D0%BA%D0%BA%D1%83%D0%BC%D1%83%D0%BB%D1%8F%D1%82%D0%BE%D1%80%20SPEEDMATE%20SM-EB620%2012V%2062Ah%20520A%20242x175x190
"Амортизатор задний VW Polo седан, FENOX",FENOX,шт,A22095,2,3950.0,2801.0,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665508&search=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%20%D0%B7%D0%B0%D0%B4%D0%BD%D0%B8%D0%B9%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20FENOX"
Амортизатор задний для VW Polo седан KAYABA (серия Excel-G н.),KYB,шт,344357,2,5490.0,3083.0,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665490&search=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%20%D0%B7%D0%B0%D0%B4%D0%BD%D0%B8%D0%B9%20%D0%B4%D0%BB%D1%8F%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%20KAYABA%20(%D1%81%D0%B5%D1%80%D0%B8%D1%8F%20Excel-G%20%D0%BD.)
Амортизатор передний для VW Polo седан KAYABA (серия Excel-G),KYB,шт,339763,4,9520.0,6144.36,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665483&search=%D0%90%D0%BC%D0%BE%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D1%82%D0%BE%D1%80%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%BD%D0%B8%D0%B9%20%D0%B4%D0%BB%D1%8F%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%20KAYABA%20(%D1%81%D0%B5%D1%80%D0%B8%D1%8F%20Excel-G)
Блок дроссельной заслонки,QUATTROFRENI,шт,QF46A00034,1,12850.0,7852.0,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665602&search=%D0%91%D0%BB%D0%BE%D0%BA%20%D0%B4%D1%80%D0%BE%D1%81%D1%81%D0%B5%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9%20%D0%B7%D0%B0%D1%81%D0%BB%D0%BE%D0%BD%D0%BA%D0%B8%20%D0%B4%D0%BB%D1%8F%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20Quattro%20Freni"
"Болт поддона АКПП для а/м VW Polo седан, Skoda Rapid, VAP",VAP,шт,WHT000309,166,75.0,4.34,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15665820&search=%D0%91%D0%BE%D0%BB%D1%82%20%D0%BF%D0%BE%D0%B4%D0%B4%D0%BE%D0%BD%D0%B0%20%D0%90%D0%9A%D0%9F%D0%9F%20%D0%B4%D0%BB%D1%8F%20%D0%B0%2F%D0%BC%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20Skoda%20Rapid,%20VAP"
"Втулка для VW Polo седан, VAG",VAG,шт,03C105159H,3,3960.0,2595.67,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15666136&search=%D0%92%D1%82%D1%83%D0%BB%D0%BA%D0%B0%20%D0%B4%D0%BB%D1%8F%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20VAG"
Датчик уровня топлива для VW Polo седан VAG 6RU919673A,VAG,шт,6RU919673A,1,4620.0,2670.0,Не ограничена,https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15666581&search=%D0%94%D0%B0%D1%82%D1%87%D0%B8%D0%BA%20%D1%83%D1%80%D0%BE%D0%B2%D0%BD%D1%8F%20%D1%82%D0%BE%D0%BF%D0%BB%D0%B8%D0%B2%D0%B0%20%D0%B4%D0%BB%D1%8F%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%20VAG%206RU919673A
"Держатель троса ручного тормоза для VW Polo седан, VAG 6R0609651",VAG,шт,6R0609651,1,370.0,65.52,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15666500&search=%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%20%D1%82%D1%80%D0%BE%D1%81%D0%B0%20%D1%80%D1%83%D1%87%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%82%D0%BE%D1%80%D0%BC%D0%BE%D0%B7%D0%B0%20%D0%B4%D0%BB%D1%8F%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20VAG%206R0609651"
"Детали крепления для задних тормозных колодок 1 комплект VW Polo седан, BOSCH",Bosch,шт,1 987 475 204,2,2290.0,727.76,Не ограничена,"https://online.autodealer.ru/catalogs/nomenclature?class=NomenclatureDTO&id=15666505&search=%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%20%D0%BA%D1%80%D0%B5%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%B4%D0%BB%D1%8F%20%D0%B7%D0%B0%D0%B4%D0%BD%D0%B8%D1%85%20%D1%82%D0%BE%D1%80%D0%BC%D0%BE%D0%B7%D0%BD%D1%8B%D1%85%20%D0%BA%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D0%BA%201%20%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%82%20VW%20Polo%20%D1%81%D0%B5%D0%B4%D0%B0%D0%BD,%20BOSCH"
